id,title,content,tags
1,right approach write spin controller soccer robot,imagine programming 3 wheel soccer robot type controller use spinning p pid goal controller make robot stand defined angle 0 degree turn back rotated hand robot use stepper motors robot servos need implement software written sample p type controller already movement fairly good like make better possible code follows correction range robot movement degree number 127 128 returned compass motorspeed number 0 255 applied pwm,"['soccer', 'control']"
2,can modify low cost hobby servo run freely,ve got hobby servos power hd 1501mgs d like able control via arduino will either go angle set put free running mode load will take wherever goes even possible just going end stripping gears first thought simply kill power servo force required move state d like possible looking hardware change software,"['control', 'rcservo']"
3,useful gaits exist six legged robot pros cons,lists three gaits tripod wave ripple can improved can relative pros cons altered gaits worth considering,"['gait', 'walk']"
4,good microcontrollers socs robotics project,looking starting point project preferably using popular systems ones lot support arduino uno raspberry pi lot willpower anyone built project using systems observation d like start simple line following vehicle build afterwards,"['microcontroller', 'arduino', 'raspberry-pi']"
5,nearest neighbor data structure non euclidean configuration space,m trying implement nearest neighbor structure use rrt motion planner order better linear brute force nearest neighbor search d like implement something like kd tree however seems like classical implementation kd tree assumes dimension space can split left right notion doesn t seem apply non euclidean spaces like 2 instance m working serial manipulator arm fully rotational links meaning dimension robot s configuration space 2 therefore non euclidean can kd tree algorithm modified handle kinds subspaces another nearest neighbor structure can handle non euclidean subspaces still easy update query also took look flann wasn t clear documentation whether can handle non euclidean subspaces,"['motion-planning', 'rrt']"
6,good robotics software platforms operating systems available,company will soon starting brand new robotics project still trying decide whether design code robotics software platform scratch good existing ones useful software platform commonly used among academics industry robotic system generally compatible others people already familiar like software platform able integrate new robotic hardware components easily already contain wide array useful data processing visualisation tools make efficient use computing hardware,"['software', 'platform']"
11,software use design pcb robotics field,best software despite price designing circuits pcb boards robots mean lots components different designing methods best accuracy use altium designer think answers needs maybe better ones market don t know,"['software', 'circuit']"
18,good methods tuning process noise kalman filters,often tuning kalman filter noise matrices done trial error domain knowledge principled ways tuning kalman filter parameters,"['odometry', 'localization', 'kalman-filter']"
19,keyboard control map scalar based movement,m working wild thumper 6 wheel chasis designed use rc controller however d like mapping keyboard control well can suggest set keys behaviors ve used deal continuous value control normally offered joystick pair joysticks standard wasd keys accelerate decelerate pair d also take pointer videogame think well,['untagged']
20,ideas shooting ball soccer robot,best option use shooting system soccer robot already implemented solenoid based system shooting works perfectly however d like methods check better mine,"['soccer', 'mechanism']"
23,f oss optical object avoidance,beginning work larger scale 250 350 lbs wheeled robot looking use optical means object avoidance concerned robot large causing issues running things including people top speed 15mph cause issues safety starting remote control looking robot become self contained loosely following darpa driver less car project will anywhere near fiscal power budget sensors computers thinking far afield idea self contained robot 250 300 lbs range break bank optical object avoidance comments experiences will greatly appreciated,"['computer-vision', 'wheeled-robot']"
25,choose right propeller motor combination quadcopter,many sites explain briefly problem even propose combinations however like much detailed explanation going give quad agility need bigger motors props heavy quad achieve level agility lighter quad edit understood subject quadcopter doesn t need high revving motors 4 propellers providing thrust high revving motors require battery power larger propellers give thrust per revolution motor question focused general characteristics various combinations specific questions spring mind given combination effect upgrading propeller size comparison installing higher revving motors changes need made lift heavier quad can achieve agility quad,['quadcopter']
26,cheap web buy robotic pieces,love computer programming can interact world programming s even better used steal school make little robots bounce collided wall want go don t needed pieces don t know good place buy pieces like servos etc either also m spanish page can sell places spain even better highly appreciate help aritzh,['servos']
37,mobile robot localization known map,want localize mobile robot equipped 2d laser scanner known indoor environment map 2d occupancy grid perfect algorithms appropriate mobile robot localization,"['localization', 'mobile-robot']"
39,d like use gesture based input robot pros cons xtion live kinect,title d like implement gesture recognition robot m looking pros cons kinect xtion also sensible options available m thinking following open suggestions accuracy price driver quality power draw,"['kinect', 'input']"
42,tyre tread best suited road robot expected deal frequently muddy conditions,m looking potentially build autonomous robot will frequently venture road remain autonomous 6 hours time ve found limited information however best tyre tread purpose suitable m especially looking tread pattern won t need regular cleaning save setting automatically tread gets clogged quickly clearly won t effective tackling tough terrain autonomously,['wheel']
43,algorithm use balancing two wheeled robot using gyroscope,good popular reliable algorithm can use taking input gyroscope using control two independant wheels keep balanced robot reliably upright m looking algorithm will let use drive robot around well keep upright stationary ability deal inclines people nudging also bonus essential,"['control', 'gyroscope', 'balance', 'two-wheeled']"
44,choosing right dimensions underwater glider,m looking potentially build underwater glider type submarine s slow can operate extremely low power draw however order work effectively ve found several sources hinting dimensions components especially wings critical success however ve found sparse information dimensions m happy bit trial error comes save work anyone information critical dimensions,"['design', 'underwater', 'auv']"
46,s effective type rechargeable battery taking account size weight ah,m looking build underwater glider robot will need remain autonomous long periods time perhaps even months power draw minimal m thinking including form charging device solar charger however d also like battery capacity large enough don t hugely need worry large current draw isn t really needed battery need hold charge effectively long periods time considering underwater vehicle weight size also concern cost isn t much issue long s within reason hobbyist project looking understand pros cons technology lead acid lipo nicad fuel cell can decide type battery best suited purpose m looking battery technology rather looking specific shopping recommendation,"['underwater', 'battery', 'auv']"
48,can best protect sensitive components damage vibration,s common components types robots experience large environmental stresses one key one vibration something need worry typical electronics sensitive components really secure components ve heard two main philosophies behind first use damping system springs absorb shock second keep everything rigidly place can t move therefore can t hit anything else break one follow answer depends use guide best protect sensitive components,"['electronics', 'protection']"
